Inconsistent Movie Records: 
The following [40] records are dropped because of violating constraints in the database
Star Details - ID:WiW30, Title:Buena Vista Social Club, Year:19yy, Director:Wenders.
Star Details - ID:ECn101, Title:Off His Trolley, Year:1924, Director:Cline.
Star Details - ID:ACj118, Title:The Hat Box, Year:1961, Director:Crosland~jr.
Star Details - ID:RRz4, Title:From Dusk to Dawn, Year:1996, Director:Rodriguez.
Star Details - ID:MnB22, Title:Pirates of Silicon Valley, Year:1999, Director:Burke.
Star Details - ID:MB10, Title:Blue Skies Again, Year:1982, Director:Mel~Brooks.
Star Details - ID:GKe4, Title:The Happy Road, Year:1957, Director:Gene~Kelly.
Star Details - ID:GdS4, Title:Rome 11 O'Clock, Year:1952, Director:DeSantis.
Star Details - ID:GeH10, Title:Friends and Lovers, Year:1999, Director:G.Haas.
Star Details - ID:RcB1, Title:Crisis, Year:1950, Director:R.Brooks.
Star Details - ID:DWG9, Title:The Lonely Villa, Year:1909, Director:Griffith.
Star Details - ID:AnL10, Title:The Wedding Banquet, Year:1993, Director:A.Lee.
Star Details - ID:JaB10, Title:Bright Lights, Big City, Year:1989, Director:Bridges.
Star Details - ID:BW14, Title:Love In The Afternoon, Year:1957, Director:B.Wilder.
Star Details - ID:NR20, Title:55 Days at Peking, Year:1961, Director:N.Ray.
Star Details - ID:JqR30, Title:La Vengeresse, Year:1976, Director:Rivette.
Star Details - ID:ByB10, Title:Fords on Water, Year:1983, Director:Bliss.
Star Details - ID:HH28, Title:The Big Sleep, Year:1946, Director:Hawks.
Star Details - ID:GM227, Title:Variety Girl, Year:1947, Director:Geo.Marshall.
Star Details - ID:BiA7, Title:The House of the Spirits, Year:1994, Director:August.
Star Details - ID:YKo10, Title:A Rough Sketch of a Spiral, Year:1990, Director:Kojima.
Star Details - ID:RWB20, Title:Morning Departure, Year:1950, Director:R.W.Baker.
Star Details - ID:PLf10, Title:Le juge, Year:1983, Director:Lefebvre.
Star Details - ID:SR20, Title:Jalsaghar, Year:1958, Director:S.Ray.
Star Details - ID:MRs13, Title:Isle of the Dead, Year:1949, Director:Robson.
Star Details - ID:RVO10, Title:Angel, Year:1983, Director:ONeil.
Star Details - ID:WmK21, Title:Valley of the Giants, Year:1938, Director:Keighley.
Star Details - ID:WiB186, Title:The Mystery of the Golden Eye, Year:1948, Director:Beaudine.
Star Details - ID:IdL3, Title:Hard, Fast and Beautiful, Year:1951, Director:Lupino.
Star Details - ID:VoS8, Title:The Tin Drum, Year:1966, Director:Schlondorff.
Star Details - ID:MFe20, Title:Liza, Year:1972, Director:Ferreri.
Star Details - ID:Z9965, Title:Music from the Heart, Year:1999, Director:UnYear99.
Star Details - ID:AJa1, Title:Nina Takes a Lover, Year:1995, Director:Jacobs.
Star Details - ID:FHe30, Title:Basket Case II, Year:1990, Director:Hennenlotter.
Star Details - ID:RaH10, Title:The Doctor, Year:1990, Director:Haines.
Star Details - ID:SSo16, Title:The Mummy, Year:1999, Director:Sommers.
Star Details - ID:GTh50, Title:Carry On Henry, Year:1971, Director:G.Thomas.
Star Details - ID:InB34, Title:Scenes from A Marriage, Year:1974, Director:I.Bergman.
Star Details - ID:HeD113, Title:The Morning After, Year:1959, Director:Daugherty.
Star Details - ID:JCv6, Title:The Sweet and the Bitter, Year:1962, Director:Clavell.
Star Details - ID:AZu25, Title:Chamanka, Year:1999, Director:Zulawski.
Star Details - ID:SNe10, Title:The Lost Continent, Year:1951, Director:Newfield.
Star Details - ID:LGt25, Title:You Only Live Twice, Year:1967, Director:L.Gilbert.
Star Details - ID:TB34, Title:The Big City, Year:1927, Director:T.Browning.
Star Details - ID:RtL10, Title:Christy Turlington Backstage, Year:1994, Director:Ri.Leacock.
Star Details - ID:AEG41, Title:Dangerous, Year:1935, Director:A.E.Green.
Star Details - ID:bQs25, Title:Are We Still Married, Year:1992, Director:Quay.
Star Details - ID:BCl10, Title:A Christmas Story, Year:1983, Director:B.Clark.
Star Details - ID:PFr15, Title:There's Something About Mary, Year:1998, Director:Farrelly.
Star Details - ID:WWn12, Title:Under Western Stars, Year:1938, Director:Witney.
Star Details - ID:ICs7, Title:A Woman Under the Influence, Year:1974, Director:JCassavetes.
Star Details - ID:WlD54, Title:Volcano, Year:1950, Director:Dieterle.
Star Details - ID:MBo12, Title:The War of Troy, Year:1961, Director:Bonnard.
Star Details - ID:VGl10, Title:Der Brocken, Year:1992, Director:Glowna.
Star Details - ID:GRo7, Title:The Crazies, Year:1972, Director:Romero.
Star Details - ID:MMr10, Title:Roger and Me, Year:1990, Director:M.Moore.
Star Details - ID:JDe35, Title:Beloved, Year:1998, Director:J.Demme.
Star Details - ID:JlC14, Title:The Hudsucker Proxy, Year:1994, Director:J.Coen.
Star Details - ID:ECn107, Title:Captain January, Year:1924, Director:Cline.
Star Details - ID:RWi13, Title:The Day the Earth Stood Still, Year:1951, Director:R.Wise.
Star Details - ID:RA10, Title:Cry Freedom, Year:1987, Director:Attenborough.
Star Details - ID:ThS2, Title:Miss Firecracker, Year:1989, Director:Schlamme.
Star Details - ID:CuH10, Title:Killer Bees, Year:1974, Director:Harrington.
Star Details - ID:Z9695, Title:Pursuit, Year:1996, Director:UnYear96.
Star Details - ID:WaF15, Title:Rome Express, Year:1932, Director:W.Forde.
Star Details - ID:RiF36, Title:Mandingo, Year:1975, Director:R.Fleischer.
Star Details - ID:KrK38, Title:Blue, Year:1993, Director:Kieslovski.
Star Details - ID:MSt20, Title:Sir Arne's Treasure, Year:1919, Director:M.Stiller.
Star Details - ID:CHa14, Title:The Bedroom Window, Year:1988, Director:Hanson.
Star Details - ID:ELu20, Title:The Last Gangster, Year:1937, Director:Ludwig.
Star Details - ID:SaT9, Title:Hot Water, Year:1924, Director:Sam~Taylor.
Star Details - ID:JCa7, Title:My Geisha, Year:1962, Director:Cardiff.
Star Details - ID:MiL5, Title:Abigail's Party, Year:1977, Director:Leigh.
Star Details - ID:LeB10, Title:Bad Behaviour, Year:1993, Director:Blair.
Star Details - ID:IB103, Title:The Cuckoo Clock, Year:1960, Director:Brahm.
Star Details - ID:JfPd10, Title:Booty Call, Year:1997, Director:Pollack.
Star Details - ID:CCo11, Title:Stepmom, Year:1998, Director:Columbus.
Star Details - ID:RbR17, Title:The American President, Year:1995, Director:R.Reiner.
Star Details - ID:CDM6, Title:Rose of the Rancho, Year:1914, Director:DeMille.
Star Details - ID:TFi40, Title:Frankenstein and the Monster from Hell, Year:1973, Director:Fisher.
Star Details - ID:HAs2, Title:Harold and Maude, Year:1971, Director:Ashby.
Star Details - ID:YYo10, Title:A Promise, Year:1986, Director:Y.Yoshida.
Star Details - ID:GM242, Title:Money From Home, Year:1954, Director:Geo.Marshall.
Star Details - ID:JSb10, Title:The Seduction of Joe Tynan, Year:1979, Director:Schatzberg.
Star Details - ID:DL16, Title:A Passage to India, Year:1984, Director:Lean.
Star Details - ID:IML102, Title:Malice Domestic, Year:1957, Director:J.M.Lucas.
Star Details - ID:JGf10, Title:Something Wild, Year:1961, Director:Garfein.
Star Details - ID:GH15, Title:Diamonds are Forever, Year:1971, Director:G.Hamilton.
Star Details - ID:JGs31, Title:Rollercoaster, Year:1977, Director:Goldstone.
Star Details - ID:FL23, Title:Western Union, Year:1941, Director:F.Lang.
Star Details - ID:GdT10, Title:Cronos, Year:1994, Director:delToro.
Star Details - ID:EBz35, Title:Go West, Year:1940, Director:Buzzell.
Star Details - ID:xDB1, Title:Moses, Year:1975, Director:deBosio.
Star Details - ID:GMu1, Title:Goodbye Pork Pie, Year:1980, Director:G.Murphy.
Star Details - ID:JaS56, Title:Fastbreak, Year:1979, Director:Smight.
Star Details - ID:FrT10, Title:Artists and Models, Year:1955, Director:Tashlin.
Star Details - ID:JCn2, Title:Room at The Top, Year:1958, Director:Clayton.
Star Details - ID:JGs6, Title:A Man Named Gannon, Year:1964, Director:Goldstone.
Star Details - ID:RxI20, Title:Scaramouche, Year:1923, Director:Rex~Ingram.
Star Details - ID:MNe20, Title:Enchanted April, Year:1992, Director:Newell.
Star Details - ID:RoA68, Title:The Frisco Kid, Year:1979, Director:Aldrich.
Star Details - ID:MAp50, Title:Extreme Measures, Year:1998, Director:Apted.
Star Details - ID:GeP25, Title:Ten Little Indians, Year:1965, Director:Pollock.
Star Details - ID:DWl10, Title:A Long Day's Journey Into Night, Year:1997, Director:Wellington.
Star Details - ID:RBl10, Title:Lemora, the Lady Dracula, Year:1974, Director:Blackburn.
Star Details - ID:RWi29, Title:The Haunting, Year:1963, Director:R.Wise.
Star Details - ID:MLH5, Title:Nasty Habits, Year:1976, Director:LindsayHogg.
Star Details - ID:CfO10, Title:The Vengeance of She, Year:1967, Director:Owen.
Star Details - ID:ErK10, Title:The Octagon, Year:1980, Director:Karsen.
Star Details - ID:CEa18, Title:Bridges of Madison County, Year:1995, Director:Eastwood.
Star Details - ID:GoA10, Title:We, The Living, Year:1942, Director:Alessandrini.
Star Details - ID:LMi25, Title:The Ship with the Lions, Year:1912, Director:Maggi.
Star Details - ID:ThI10, Title:Little Dove's Romance, Year:1911, Director:Th.Ince.
Star Details - ID:FLl99, Title:Blood on the Sun, Year:1945, Director:F.Lloyd.
Star Details - ID:RWi36, Title:The Hindenburg, Year:1975, Director:R.Wise.
Star Details - ID:HHa53, Title:North to Alaska, Year:1960, Director:Hathaway.
Star Details - ID:MRe7, Title:Rockets Galore, Year:1957, Director:Relph.
Star Details - ID:PB10, Title:Bethune, the Making of a Hero, Year:1990, Director:Borsos.
Star Details - ID:OP30, Title:Anatomy of a Murder, Year:1959, Director:Preminger.
Star Details - ID:TFi3, Title:Marry Me, Year:1949, Director:Fisher.
Star Details - ID:IFr50, Title:Brainscan, Year:1996, Director:Frankenheimer.
Star Details - ID:DMa21, Title:The Winslow Boy, Year:1999, Director:Mamet.
Star Details - ID:RSt326, Title:The Glass Eye, Year:1957, Director:R.Stevens.
Star Details - ID:H14, Title:Champagne, Year:1928, Director:Hitchcock.
Star Details - ID:EdY10, Title:A Summer for Love, Year:1991, Director:Yang.
Star Details - ID:HeB5, Title:Pixote, Year:1980, Director:Babenco.
Star Details - ID:LaK1, Title:Body Heat, Year:1982, Director:L.Kasdan.
Star Details - ID:IBt19, Title:Brother's in Law, Year:1956, Director:J.Boulting.
Star Details - ID:PiG50, Title:Seduced and Abandoned, Year:1963, Director:Germi.
Star Details - ID:QMa10, Title:A Dangerous Summer, Year:1981, Director:Masters.
Star Details - ID:HKo24, Title:Harvey, Year:1950, Director:Koster.
Star Details - ID:SS6, Title:Jaws, Year:1975, Director:Spielberg.
Star Details - ID:ELC205, Title:Inside the Mafia, Year:1959, Director:E.L.Cahn.
Star Details - ID:IEn20, Title:Dick Tracy Returns, Year:1938, Director:English.
Star Details - ID:ERr17, Title:La Collectioneuse, Year:1967, Director:Rohmer.
Star Details - ID:APa7, Title:Fame, Year:1979, Director:A.Parker.
Star Details - ID:WWo20, Title:The Perfect Crime, Year:1928, Director:Worsley.
Star Details - ID:ECn180, Title:Night Club Girl, Year:1944, Director:Cline.
Star Details - ID:DLR3, Title:To Catch a Butterfly, Year:1963, Director:Rich.
Star Details - ID:SR15, Title:Aparajito, Year:1956, Director:S.Ray.
Star Details - ID:MSm10, Title:The Tall Guy, Year:1990, Director:M.Smith.
Star Details - ID:JHd10, Title:Work Experience, Year:1989, Director:Hendrie.
Star Details - ID:StS10, Title:Out of Sight, Year:1998, Director:Soderbergh.
Star Details - ID:HHS1, Title:The White Goddess of the Wangora, Year:1913, Director:Schomburgk.
Star Details - ID:RoA22, Title:Sodom and Gomorrah, Year:1962, Director:Aldrich.
Star Details - ID:SW2, Title:Beyond the Rocks, Year:1922, Director:S.Wood.
Star Details - ID:HRv10, Title:The Lost City, Year:1935, Director:Revier.
Star Details - ID:GMx5, Title:The Kidnapping of the President, Year:1980, Director:Mendelux.
Star Details - ID:WlD9, Title:Satan meets a Lady, Year:1932, Director:Dieterle.
Star Details - ID:EBy22, Title:Fire!, Year:1977, Director:Bellamy.
Star Details - ID:RFl28, Title:The Raven, Year:1935, Director:Florey.
Star Details - ID:GMf40, Title:Pettigrew's Girl, Year:1919, Director:Melford.
Star Details - ID:DoW97, Title:Pajama Party, Year:1963, Director:D.Weis.
Star Details - ID:KSm3, Title:Chasing Amy, Year:1997, Director:K.Smith.
Star Details - ID:AAS10, Title:Trapped in Space, Year:1994, Director:A.Seidelman.
Star Details - ID:DL12, Title:The Bridge on the River Kwai, Year:1957, Director:Lean.
Star Details - ID:MCh5, Title:Hussy, Year:1979, Director:Ma.Chapman.
Star Details - ID:FDL20, Title:Rulers of the City, Year:1980, Director:DiLeo.
Star Details - ID:Z1220, Title:Within the Law, Year:1917, Director:UnYear12.
Star Details - ID:BdY5, Title:Start the Revolution without me, Year:1970, Director:Bud~Yorkin.
Star Details - ID:TVw10, Title:Frisk, Year:1996, Director:Verow.
Star Details - ID:HK30, Title:Whoopie, Year:1929, Director:H.King.
Star Details - ID:JLo30, Title:Steel, Year:1980, Director:Losey.
Star Details - ID:DpM13, Title:Fire, Year:1996, Director:Mehta.
Star Details - ID:HaR25, Title:Multiplicity, Year:1996, Director:Ramis.
Star Details - ID:KHu19, Title:Cromwell, Year:1970, Director:K.Hughes.
Star Details - ID:AC9, Title:Glorious Betsy, Year:1928, Director:Crosland.
Star Details - ID:VdS8, Title:The Gold of Naples, Year:1952, Director:deSica.
Star Details - ID:RSt323, Title:I Killed the Count, Year:1957, Director:R.Stevens.
Star Details - ID:RHo27, Title:The Paper, Year:1994, Director:R.Howard.
Star Details - ID:ADx3, Title:Forges, Year:1956, Director:Delvaux.
Star Details - ID:HeL10, Title:The Mating of Millie, Year:1948, Director:Levin.
Star Details - ID:PhL16, Title:Innocent Sinners, Year:1958, Director:Ph.Leacock.
Star Details - ID:JaM10, Title:Playing God, Year:1997, Director:Maslin.
Star Details - ID:CdG1, Title:Tarzan and his Mate, Year:1934, Director:C.Gibbons.
Star Details - ID:SK4, Title:On the Beach, Year:1959, Director:St.Kramer.
Star Details - ID:CSr8, Title:Bodas de Sangre, Year:1981, Director:Saura.
Star Details - ID:CBu6, Title:Dealers, Year:1988, Director:Bucksey.
Star Details - ID:HK91, Title:Love is a many Splendored Thing, Year:1955, Director:H.King.
Star Details - ID:WLa28, Title:Greenwich Village, Year:1944, Director:W.Lang.
Star Details - ID:PTV10, Title:Fear, Year:1989, Director:Vince.
Star Details - ID:CGl75, Title:Manon Lescaut, Year:1940, Director:Gallone.
Star Details - ID:FlM2, Title:Night Into Morning, Year:1951, Director:F.Markle.
Star Details - ID:BKo10, Title:Krakatoa, East of Java, Year:1968, Director:Kowalski.
Star Details - ID:CGl70, Title:Madame Butterfly, Year:1939, Director:Gallone.
Star Details - ID:GC40, Title:Bhowani Junction, Year:1956, Director:Cukor.
Star Details - ID:JSo15, Title:A Nightmare on Elm Street Part Two: Freddy's Revenge, Year:1985, Director:Sholder.
Star Details - ID:CyE10, Title:Tarzan's Savage Fury, Year:1952, Director:Endfield.
Star Details - ID:PUs1, Title:School for Secrets, Year:1946, Director:Ustinov.
Star Details - ID:CLa18, Title:One-Run B.Keaton, Year:1935, Director:Lamont.
Star Details - ID:MtC12, Title:GoldenEye , Year:1995, Director:M.Campbell.
Star Details - ID:WTh3, Title:Drei von der Tankstelle, Year:1930, Director:Thiele.
Star Details - ID:NeJ20, Title:The Miracle, Year:1990, Director:N.Jordan.
Star Details - ID:JoP41, Title:A Nice Touch, Year:1963, Director:Pevney.
Star Details - ID:WTN10, Title:Thunder in Dixie, Year:1965, Director:Naud.
Star Details - ID:MBo10, Title:Ultimi Giorni di Pompeii, Year:1960, Director:Bonnard.
Star Details - ID:PFC10, Title:When Women Had Tails, Year:1970, Director:Campanile.
Star Details - ID:ITr1, Title:Middle-age Crazy, Year:1980, Director:Trent.
Star Details - ID:RWB40, Title:Tiger in the Smoke, Year:1956, Director:R.W.Baker.
Star Details - ID:TiB8, Title:Edward Scissorhands, Year:1989, Director:T.Burton.
Star Details - ID:RuC10, Title:Fear of a Black Hat, Year:1994, Director:Cundieff.
Star Details - ID:RCo3, Title:Swamp Women, Year:1955, Director:Corman.
Star Details - ID:LMa4, Title:Zazie dans le Metro, Year:1961, Director:Malle.
Star Details - ID:MS1, Title:Who's That Knocking on My Door, Year:1970, Director:Scorsese.
Star Details - ID:DBy1, Title:Perr Gynt, Year:1941, Director:Bradley.
Star Details - ID:PeJ10, Title:Dead Alive, Year:1993, Director:PeterJackson.
Star Details - ID:HBH90, Title:Without a Trace, Year:1983, Director:Humberstone.
Star Details - ID:BW15, Title:Witness for the Prosecution, Year:1958, Director:B.Wilder.
Star Details - ID:RlE5, Title:Eye of the Storm, Year:1991, Director:Emmerich.
Star Details - ID:BrL10, Title:The Lawnmower Man, Year:1992, Director:B.Leonard.
Star Details - ID:JlC15, Title:Things to do in Denver When You're Dead, Year:1995, Director:J.Coen.
Star Details - ID:AcG10, Title:Fedora, or Piu Forte dell'Odio e Amore, Year:1913, Director:Gonsalvi.
Star Details - ID:HoD20, Title:Getting Even With Dad, Year:1994, Director:Deutsch.
Star Details - ID:FrB13, Title:Crac, Year:1981, Director:Back.
Star Details - ID:HBH60, Title:She's Working Her Way Through College, Year:1952, Director:Humberstone.
Star Details - ID:AgH15, Title:The Secret Garden, Year:1993, Director:A.Holland.
Star Details - ID:HK69, Title:Stanley and Livingstone, Year:1939, Director:H.King.
Star Details - ID:DKu1, Title:Entre Nous, Year:1953, Director:Kurys.
Star Details - ID:FLl4, Title:The Only Way, Year:1918, Director:F.Lloyd.
Star Details - ID:JN13, Title:Three Came Home, Year:1950, Director:Negulesco.
Star Details - ID:IB113, Title:The Trap, Year:1965, Director:Brahm.
Star Details - ID:DSk37, Title:Slightly French, Year:1949, Director:Sirk.
Star Details - ID:IiS10, Title:Backbeat, Year:1994, Director:Softley.
Star Details - ID:MaA10, Title:Down in the Delta, Year:1998, Director:Angelou.
Star Details - ID:GC35, Title:The Marrying Kind, Year:1952, Director:Cukor.
Star Details - ID:MlC10, Title:Prehistoric Women, Year:1967, Director:Carreras.
Star Details - ID:NeJ16, Title:We're No Angels, Year:1989, Director:N.Jordan.
Star Details - ID:THk14, Title:That Thing You Do!, Year:1996, Director:Hanks.
Star Details - ID:CDM51, Title:The King of Kings, Year:1927, Director:DeMille.
Star Details - ID:LPh15, Title:Louis Armstrong Chicago Style, Year:1980, Director:Phillips.
Star Details - ID:MLt15, Title: , Year:1984, Director:M.Lester.
Star Details - ID:MPr1, Title:The Bad News Bears in Breaking Training, Year:1977, Director:M.Pressman.
Star Details - ID:C129, Title:This is The Army, Year:1943, Director:Curtiz.
Star Details - ID:SiM10, Title:Tammy and the Millionaire, Year:1969, Director:S.Miller.
Star Details - ID:ECn26, Title:Training for Husbands, Year:1918, Director:Cline.
Star Details - ID:JA20, Title:The Incredible Shrinking Man, Year:1957, Director:Arnold.
Star Details - ID:MRy10, Title:On Golden Pond, Year:1981, Director:Rydell.
Star Details - ID:FDG10, Title:Once in Paris, Year:1978, Director:Gilroy.
Star Details - ID:JqB23, Title:Rue de l'Estrapade, Year:1952, Director:J.Becker.
Star Details - ID:FFC7, Title:The Godfather, Part II, Year:1974, Director:Coppola.
Star Details - ID:MN6, Title:The Fortune, Year:1975, Director:M.Nichols.
Star Details - ID:RA2, Title:Young Winston, Year:1972, Director:Attenborough.
Star Details - ID:VME40, Title:Blame it on the Bellboy, Year:1993, Director:McEveety.
Star Details - ID:MLR29, Title:Thirty Seconds over Tokyo, Year:1944, Director:M.LeRoy.
Star Details - ID:StH23, Title:I died a Thousand Times, Year:1955, Director:Heisler.
Star Details - ID:LB18, Title:Los Ambiciosas, Year:1959, Director:Bunuel.
Star Details - ID:SCl10, Title:The Cool World, Year:1964, Director:Clarke.
Star Details - ID:HAs7, Title:Being There, Year:1979, Director:Ashby.
Star Details - ID:KV23, Title:The Big Parade, Year:1925, Director:K.Vidor.
Star Details - ID:RHo24, Title:Far and Away, Year:1992, Director:R.Howard.
Star Details - ID:KRu23, Title:Salome's Last Dance, Year:1988, Director:K.Russell.
Star Details - ID:LoM20, Title:Flight for Freedom, Year:1943, Director:L.Mendes.
Star Details - ID:H58, Title:Back For Christmas, Year:1956, Director:Hitchcock.
Star Details - ID:ASa14, Title:Bluebeard's Seven Wives, Year:1926, Director:Santell.
Star Details - ID:RFM20, Title:Gettysburg, Year:1993, Director:R.Maxwell.
Star Details - ID:RNo20, Title:Diki Vostok, Year:1993, Director:Nougmanov.
Star Details - ID:RtB12, Title:Lancelot du Lac, Year:1974, Director:Bresson.
Star Details - ID:IG4, Title:The Living Daylights, Year:1985, Director:Glen.
Star Details - ID:ADx25, Title:Met Deric Bouts, Year:1975, Director:Delvaux.
Star Details - ID:Z9210, Title:Beyond Justice, Year:1992, Director:UnYear92.
Star Details - ID:AMy20, Title:Police Academy 6, Year:1989, Director:Myerson.
Star Details - ID:LSm10, Title:Tarzan's Magic Fountain, Year:1949, Director:Sholem.
Star Details - ID:HH33, Title:Monkey Business, Year:1952, Director:Hawks.
Star Details - ID:FrQ10, Title:Johann Mouse, Year:1952, Director:Quimby.
Star Details - ID:WPr10, Title:Rock, Rock, Rock, Year:1957, Director:W.Price.
Star Details - ID:FrW14, Title:High School, Year:1969, Director:Wiseman.
Star Details - ID:FAm10, Title:Flashback, Year:1989, Director:Amurri.
Star Details - ID:CLa90, Title:Bagdad, Year:1949, Director:Lamont.
Star Details - ID:IMi10, Title:Red Dawn, Year:1984, Director:Milius.
Star Details - ID:VGa10, Title:Buffalo '66, Year:1998, Director:Gallo.
Star Details - ID:MCy3, Title:The Girl in Black, Year:1955, Director:Cacoyannis.
Star Details - ID:HeD109, Title:Sylvia, Year:1958, Director:Daugherty.
Star Details - ID:WiW25, Title:Until the End of the World, Year:1992, Director:Wenders.
Star Details - ID:EHG15, Title:Holiday, Year:1930, Director:E.H.Griffith.
Star Details - ID:SW22, Title:For Whom the Bell Tolls, Year:1943, Director:S.Wood.
Star Details - ID:Z9579, Title:Dreamgirls, Year:1995, Director:UnYear95.
Star Details - ID:RWF18, Title:Fox and his friends, Year:1975, Director:Fassbinder.
Star Details - ID:IF113, Title:The Wings of Eagles, Year:1957, Director:J.Ford.
Star Details - ID:MiW18, Title:The Nightcomer, Year:1970, Director:Winner.
Star Details - ID:RaW74, Title:White Heat, Year:1949, Director:Walsh.
Star Details - ID:SCz10, Title:La Luna en el Espejo, Year:1990, Director:Caiozzi.
Star Details - ID:ICr7, Title:For the Defense, Year:1930, Director:Cromwell.
Star Details - ID:GD13, Title:La Souriante Madame Beudet, Year:1923, Director:Dulac.
Star Details - ID:RA19, Title:In Love and War, Year:1996, Director:Attenborough.
Star Details - ID:GeM30, Title:Babe: Pig in the City, Year:1998, Director:Geo.Miller.
Star Details - ID:AMr15, Title:Vercingetorix, the Druid King, Year:1996, Director:Morahan.
Star Details - ID:GRt1, Title:Lock, Stock, and Two Smoking Barrels, Year:1999, Director:Ritchie.
Star Details - ID:MRt20, Title:Wild Cats, Year:1986, Director:M.Ritchie.
Star Details - ID:H51, Title:Rear Window, Year:1954, Director:Hitchcock.
Star Details - ID:RDL24, Title:Finders Keepers, Year:1984, Director:R.Lester.
Star Details - ID:JKf10, Title:Bad Manners, Year:1998, Director:Kaufer.
Star Details - ID:LlB37, Title:Picture Snatcher, Year:1933, Director:Bacon.
Star Details - ID:IF111, Title:Mr.~Roberts, Year:1955, Director:J.Ford.
Star Details - ID:FM10, Title:Tabu, Year:1931, Director:F.W.Murnau.
Star Details - ID:MLR14, Title:Gold Diggers of 1933, Year:1933, Director:M.LeRoy.
Star Details - ID:SL7, Title:Fail Safe, Year:1964, Director:Lumet.
Star Details - ID:JW2, Title:Frankenstein, Year:1931, Director:Whale.
Star Details - ID:DLy12, Title:Wild at Heart, Year:1990, Director:D.Lynch.
Star Details - ID:DuM20, Title:Gorilla Bathes at Noon, Year:1993, Director:Makavejev.
Star Details - ID:JHo5, Title:Hurricane Smith, Year:1952, Director:J.Hopper.
Star Details - ID:CCw8, Title:Almost Famous, Year:1999, Director:C.Crowe.
Star Details - ID:ASa31, Title:Daddy Long Legs, Year:1931, Director:Santell.
Star Details - ID:ECn119, Title:A Love Sunday, Year:1926, Director:Cline.
Star Details - ID:ShI23, Title:Jinruigaku Nyumon, Year:1966, Director:Imamura.
Star Details - ID:KGr10, Title:Die Strasse, Year:1923, Director:Grune.
Star Details - ID:SfP6, Title:Hotel Deutschland, Year:1991, Director:Stf.Paul.
Star Details - ID:HuH20, Title:Revolution, Year:1984, Director:Hudson.
Star Details - ID:JKm10, Title:Song of Songs, Year:1918, Director:J.Kaufman.
Star Details - ID:HHu2, Title:The Outlaw, Year:1948, Director:H.Hughes.
Star Details - ID:MhR10, Title:Lenin in 1918, Year:1938, Director:Romm.
Star Details - ID:IML100, Title:Jonathan, Year:1956, Director:J.M.Lucas.
Star Details - ID:REn30, Title:The Singing Marine, Year:1937, Director:Enright.
Star Details - ID:FF15, Title:Amacord, Year:1974, Director:Fellini.
Star Details - ID:LGB10, Title:Welcome Mr.~Marshall, Year:1952, Director:Berlanga.
Star Details - ID:LoW10, Title:The Dumb Girl of Portici, Year:1916, Director:Weber.
Star Details - ID:STy10, Title:Den-En Ni Shisu, Year:1974, Director:Terayama.
Star Details - ID:JWy10, Title:The Haunting of Morella, Year:1990, Director:Wynorski.
Star Details - ID:ECn141, Title:Love at First Flight, Year:1928, Director:Cline.
Star Details - ID:JLo15, Title:The Sevant, Year:1963, Director:Losey.
Star Details - ID:SSS65, Title:I Love Trouble, Year:1948, Director:S.Simon.
Star Details - ID:PlB2, Title:Marlowe, Year:1968, Director:P.Bogart.
Star Details - ID:Ird16, Title:Last Tattoo, Year:1994, Director:Reid.
Star Details - ID:IF91, Title:Tobacco Road, Year:1941, Director:J.Ford.
Star Details - ID:ASv10, Title:Moloch, Year:1999, Director:Sokurov.
Star Details - ID:ACj119, Title:Keep Me Company, Year:1961, Director:Crosland~jr.
Star Details - ID:RMp50, Title:Desert Rats, Year:1953, Director:R.Murphy.
Star Details - ID:SeL45, Title:Once Upon A Time in the West, Year:1976, Director:S.Leone.
Star Details - ID:WlB10, Title:Dick Tracy, Year:1945, Director:Berke.
Star Details - ID:CCr12, Title:Whispers in the Dark, Year:1992, Director:Ch.Crowe.
Star Details - ID:MBb10, Title:Demolition Man, Year:1993, Director:Brambilla.
Star Details - ID:PAd2, Title:Sugarbaby, Year:1984, Director:Adlon.
Star Details - ID:MLR34, Title:East Side West Side, Year:1950, Director:M.LeRoy.
Star Details - ID:VM32, Title:On A Clear Day You Can See Forever, Year:1964, Director:Minnelli.
Star Details - ID:TiG2, Title:Jabberwocky, Year:1977, Director:Gilliam.
Star Details - ID:GC7, Title:What Price Hollywood, Year:1932, Director:Cukor.
Star Details - ID:HaF16, Title:Dear Octopus, Year:1943, Director:French.
Star Details - ID:AEy12, Title:Calendar, Year:1993, Director:Egoyan.
Star Details - ID:SJF21, Title:The Boys in Company C, Year:1977, Director:Furie.
Star Details - ID:JlC10, Title:Miller's Crossing, Year:1990, Director:J.Coen.
Star Details - ID:AJd10, Title:Fanfan, Year:1992, Director:Jardin.
Star Details - ID:Ebu5, Title:The Brothers McMullen, Year:1995, Director:E.Burns.
Star Details - ID:JWH80, Title:Way Out West, Year:1937, Director:Horne.
Star Details - ID:SmW3, Title:The General's Daughter, Year:1999, Director:S.West .
Star Details - ID:PRo93, Title:The Scarlet Clue, Year:1945, Director:Rosen.
Star Details - ID:LCs10, Title:Jungle Goddess, Year:1948, Director:L.Collins.
Star Details - ID:PY3, Title:Robbery, Year:1967, Director:Yates.
Star Details - ID:MS30, Title:Casino, Year:1996, Director:Scorsese.
Star Details - ID:JJA20, Title:The Lover, Year:1992, Director:Annaud.
